MTS25	Tensile Strength
1.7357	449.4344
1.7401	449.4085
1.745	449.6291
1.7491	449.5027
1.7541	449.6549
1.7589	449.6255
1.7626	449.3573
1.7667	449.3961
1.7717	449.6182
1.7765	449.6371
1.7804	449.5469
1.7848	449.576
1.7898	449.6459
1.7941	449.6195
1.8001	449.7199
1.8036	449.6174
1.8075	449.5096
1.8121	449.6299
1.8174	449.674
1.8215	449.6407
1.8258	449.6434
1.8309	449.676
1.835	449.6392
1.8404	449.714
1.8453	449.6874
1.8489	449.6068
1.853	449.6039
1.8582	449.6803
1.8632	449.6943
1.8672	449.6587
1.8719	449.6743
1.8767	449.6868
1.8809	449.6696
1.8868	449.8414
1.8907	449.6628
1.8945	449.6306
1.899	449.6695
1.9046	449.7564
1.9087	449.6822
1.9132	449.6823
1.9181	449.7451
1.9222	449.6785
1.9274	449.8105
1.9325	449.7933
1.9361	449.665
1.9404	449.6651
1.9454	449.7425
1.9503	449.7936
1.9544	449.7036
1.9591	449.7437
1.9641	449.7833
1.9682	449.7211
1.9741	450.2324
1.9783	449.7225
1.9822	449.67
1.9868	449.7241
1.9921	450.002
1.9965	449.7654
2.001	449.765
2.006	449.9914
2.0105	449.7925
2.0154	450.0431
2.0206	450.1494
2.0244	449.7274
2.0287	449.7259
2.0336	449.9927
2.0387	450.1699
2.0426	449.8269
2.0474	449.9659
2.0523	450.0331
2.0567	449.8906
2.0625	450.6858
2.0666	449.9829
2.0705	449.7487
2.0751	449.9041
2.0804	450.4569
2.0847	450.0407
2.089	449.9905
2.0941	450.4264
2.0988	450.1388
2.1035	450.4486
2.1089	450.5999
2.1125	449.8991
2.1167	449.8243
2.1217	450.3689
2.1268	450.6672
2.1309	450.1529
2.1354	450.3299
2.1407	450.7165
2.1451	450.4208
2.1505	451.1022
2.1548	450.3716
2.1586	449.9621
2.1632	450.2768
2.1686	451.019
2.1731	450.5547
2.1774	450.4077
2.1827	450.9397
2.187	450.5964
2.1919	450.7695
2.1971	451.146
2.201	450.3446
2.2047	450.1591
2.21	450.8835
2.2152	451.2272
2.2192	450.533
2.2239	450.6659
2.2292	451.2812
2.2336	450.8657
2.2387	451.5413
2.2431	450.9899
2.247	450.3872
2.2515	450.6773
2.2568	451.3826
2.2613	451.0564
2.2657	450.8427
2.2709	451.5048
2.2755	451.3653
2.2803	451.4245
2.2855	451.7219
2.2893	450.8433
2.2934	450.5969
2.2984	451.3235
2.3035	451.7839
2.3077	451.116
2.3125	451.3972
2.3176	451.8054
2.322	451.5924
2.3271	451.8474
2.3316	451.5949
2.3356	450.9861
2.3401	451.1689
2.3453	451.8112
2.3502	451.768
2.3543	451.5057
2.3593	451.8039
2.3639	451.7653
2.3686	451.7614
2.3742	452.0562
2.378	451.4837
2.3822	451.2217
2.387	451.7517
2.3922	451.9679
2.3965	451.68
2.4009	451.6935
2.4061	452.0143
2.4107	451.8904
2.4157	452.067
2.4206	451.9195
2.4242	451.52
2.4287	451.6314
2.434	451.9899
2.4385	451.9595
2.4432	451.8913
2.4478	451.9789
2.4526	452.001
2.4572	451.9738
2.4631	452.5126
2.4669	451.8752
2.4711	451.7745
2.4758	451.9885
2.4811	452.1515
2.4852	451.9602
2.4896	451.9366
2.4948	452.2045
2.4994	452.0229
2.5046	452.4617
2.5093	452.1971
2.5133	451.9008
2.5177	451.9435
2.5228	452.1487
2.5278	452.232
2.5319	452.0358
2.5364	452.0687
2.5416	452.3315
2.546	452.1318
2.5518	452.8767
2.5557	452.0313
2.5597	451.9867
2.5646	452.1474
2.5701	452.6569
2.5741	452.1357
2.5785	452.0744
2.5839	452.775
2.588	452.1205
2.5937	452.8824
2.5983	452.5909
2.6021	452.0496
2.6065	452.0926
2.6116	452.5585
2.6163	452.6046
2.6206	452.2624
2.6251	452.39
2.6304	452.7279
2.6348	452.6209
2.6408	453.2532
2.6447	452.3409
2.6486	452.0869
2.6533	452.4603
2.6587	452.9735
2.6627	452.5056
2.667	452.4371
2.6723	453.01
2.6765	452.6457
2.682	453.2245
2.687	452.9733
2.6908	452.2933
2.6951	452.3511
2.7002	452.9582
2.7051	453.0143
2.7093	452.6739
2.7139	452.7631
2.7191	452.9888
2.7232	452.869
2.7292	453.748
2.7328	452.7796
2.7368	452.4314
2.7416	452.8275
2.7471	453.3536
2.7513	452.8573
2.7556	452.8794
2.7608	453.3333
2.7649	452.8406
2.7705	453.651
2.7754	453.4222
2.7788	452.6973
2.7831	452.7021
2.7882	453.2953
