MTS25	Tensile Strength
4.4133	359.5434
4.4176	359.4452
4.423	359.5648
4.4274	359.504
4.4324	359.5452
4.4379	359.5728
4.4416	359.3343
4.4455	359.2774
4.4506	359.5504
4.4561	359.581
4.4602	359.5217
4.4649	359.5524
4.4703	359.5703
4.4745	359.5484
4.4801	359.6
4.4846	359.5554
4.4883	359.4018
4.493	359.5356
4.498	359.5769
4.5031	359.5699
4.5075	359.5533
4.5125	359.5879
4.5173	359.5694
4.522	359.5794
4.5278	359.6945
4.5313	359.5341
4.5352	359.5076
4.5403	359.5779
4.5456	359.6844
4.5498	359.5634
4.5543	359.5678
4.5599	359.7267
4.5645	359.5919
4.5697	359.8007
4.5743	359.5766
4.5778	359.5334
4.5822	359.557
4.5875	359.6787
4.5925	359.6236
4.5965	359.5716
4.6013	359.6338
4.6065	359.7516
4.6116	359.851
4.6171	359.9782
4.6207	359.5632
4.6248	359.5669
4.6296	359.6159
4.635	359.96
4.6394	359.6104
4.6437	359.6022
4.6491	360.0083
4.6537	359.7441
4.6591	360.0803
4.6637	359.7638
4.6675	359.5748
4.6721	359.6219
4.6773	359.9232
4.6825	359.9207
4.6863	359.6609
4.6916	359.966
4.6965	359.9119
4.7011	359.969
4.7068	360.3874
4.7105	359.6482
4.7146	359.6059
4.7195	359.8646
4.7248	360.2118
4.7293	359.8325
4.7333	359.7612
4.7393	360.476
4.7435	359.9226
4.7491	360.4674
4.7537	360.1077
4.7574	359.6443
4.7618	359.7759
4.7668	360.1577
4.7719	360.2629
4.7762	359.9453
4.7811	360.2626
4.7861	360.3319
4.7906	360.1616
4.7969	360.8156
4.8006	359.9026
4.8044	359.7825
4.8096	360.1927
4.8149	360.5749
4.8191	360.1605
4.8233	360.0278
4.829	360.747
4.8332	360.166
4.8386	360.7437
4.844	360.5859
4.8475	359.8907
4.8519	360.0743
4.8573	360.5878
4.8623	360.5683
4.8664	360.2183
4.8712	360.4266
4.8765	360.668
4.881	360.5876
4.8873	361.2172
4.8909	360.1905
4.8948	359.9909
4.8995	360.363
4.9051	360.8735
4.9093	360.4722
4.9139	360.4773
4.9193	361.0084
4.9237	360.5448
4.9293	361.1711
4.9342	360.7407
4.9379	360.1584
4.942	360.273
4.9473	360.866
4.9524	360.9126
4.9564	360.5566
4.9613	360.7228
4.9668	360.9771
4.971	360.772
4.9773	361.4024
4.9813	360.6102
4.985	360.39
4.9899	360.6944
4.9954	361.2419
4.9996	360.7535
5.0039	360.6902
5.0093	361.1649
5.0138	360.8668
5.0194	361.4282
5.0246	361.1977
5.0281	360.5387
5.0326	360.6036
5.0375	361.101
5.0429	361.2274
5.0471	360.8888
5.0517	361.0009
5.0572	361.2814
5.0615	361.1081
5.0675	361.6448
5.0716	360.8906
5.0753	360.6325
5.0799	360.9201
5.0855	361.5263
5.0901	361.0774
5.0946	361.0986
5.1	361.4351
5.1042	361.0239
5.1094	361.4914
5.1147	361.444
5.1183	360.8285
5.1225	360.8055
5.1278	361.4465
5.1333	361.5914
5.1373	361.1451
5.142	361.2797
5.1471	361.4154
5.1514	361.2486
5.1575	361.7603
5.1616	361.2465
5.1654	360.8976
5.1703	361.2427
5.1758	361.6667
5.1804	361.4318
5.1849	361.3127
5.19	361.6511
5.1944	361.3286
5.1994	361.6178
5.2052	361.7074
5.2086	361.1376
5.213	361.1033
5.2182	361.6026
5.2236	361.7075
5.2276	361.4112
5.2324	361.5751
5.2378	361.6822
5.2416	361.4374
5.2477	361.8524
5.2519	361.5244
5.2557	361.164
5.2605	361.4693
5.266	361.7397
5.2707	361.6516
5.2751	361.5755
5.2802	361.7279
5.2845	361.5877
5.2894	361.7085
5.295	361.8162
5.2988	361.3572
5.3029	361.3409
5.3078	361.6998
5.3134	361.8475
5.3177	361.6413
5.3221	361.7055
5.3275	361.7682
5.3318	361.6661
5.3376	361.976
5.3419	361.6743
5.3456	361.4445
5.3503	361.6378
5.3555	361.8032
5.3605	361.7728
5.3647	361.7127
5.3699	361.8552
5.3745	361.7202
5.3793	361.7836
5.385	362.0195
5.3887	361.6354
5.3928	361.5998
5.3979	361.7725
5.4032	362.0358
5.4073	361.7333
5.412	361.7774
5.4174	361.9511
5.4216	361.7582
5.4273	362.1002
5.4318	361.7809
5.4356	361.631
5.4401	361.7206
5.4453	361.9467
5.4502	361.8926
5.4544	361.7675
5.4597	361.9995
5.4646	361.8783
5.4693	362.0082
5.475	362.1763
5.4786	361.7319
5.4827	361.6983
5.4877	361.9235
5.493	362.1454
