MTS25	Tensile Strength
2.6651	372.5041
2.67	372.7865
2.6745	372.7518
2.6789	372.8229
2.6844	373.0007
2.688	372.6233
2.6919	372.5383
2.6969	372.8262
2.7019	373.0009
2.7057	372.8307
2.7101	372.8516
2.7151	373.0312
2.7191	372.9199
2.7249	373.1132
2.7291	373.0052
2.7328	372.8354
2.7371	372.9161
2.7422	373.0603
2.7467	373.0421
2.7507	373.0114
2.7554	373.0518
2.76	373.0726
2.7646	373.1135
2.7701	373.3882
2.7738	373.0366
2.7775	373.0145
2.7824	373.0847
2.7875	373.3178
2.7912	373.1132
2.7957	373.126
2.8007	373.4299
2.8049	373.2242
2.8102	373.5867
2.8145	373.3915
2.8181	373.1233
2.8225	373.1453
2.8275	373.5136
2.8321	373.5093
2.8362	373.3865
2.8405	373.5076
2.8454	373.6012
2.85	373.7112
2.8552	374.2267
2.8589	373.4445
2.8626	373.3865
2.8673	373.6531
2.8728	374.2755
2.8766	373.7135
2.8808	373.7516
2.886	374.3274
2.8897	374.0156
2.8954	374.7675
2.8997	374.3752
2.9034	373.7988
2.9075	373.9083
2.9126	374.5715
2.9173	374.6263
2.9211	374.2679
2.926	374.6974
2.9306	374.6281
2.9352	374.7578
2.9407	375.6823
2.9443	374.5278
2.9481	374.2377
2.9527	374.844
2.958	375.6266
2.9619	375.0054
2.9664	375.0915
2.9713	375.6346
2.9752	374.9749
2.9803	375.7229
2.9852	375.6546
2.9886	374.8583
2.9927	375.0715
2.998	375.7305
3.0026	375.7327
3.0065	375.5344
3.0111	375.7215
3.0156	375.738
3.0197	375.7096
3.0256	376.5497
3.0293	375.7202
3.033	375.5558
3.0375	375.751
3.0428	376.4427
3.0466	375.9064
3.051	375.9267
3.0564	376.4782
3.0601	375.9827
3.0652	376.6222
3.07	376.5591
3.0733	375.8189
3.0774	375.9432
3.0824	376.5807
3.0872	376.75
3.0911	376.4865
3.0959	376.6878
3.1004	376.6999
3.1047	376.5787
3.1104	377.2684
3.114	376.6327
3.1177	376.4335
3.1224	376.7035
3.1274	377.2444
3.1315	376.9199
3.1357	376.9531
3.1408	377.2787
3.1448	377.0215
3.1494	377.2621
3.1545	377.3438
3.158	376.9097
3.1623	376.9511
3.167	377.2694
3.1719	377.4147
3.1757	377.2144
3.1803	377.3184
3.185	377.4265
3.1891	377.3075
3.1946	377.7737
3.1985	377.3693
3.2018	377.216
3.2064	377.3536
3.2118	377.7768
3.2158	377.5503
3.22	377.4526
3.2253	377.9034
3.2293	377.6685
3.2341	377.8579
3.2389	377.9229
3.2422	377.5216
3.2462	377.5163
3.2512	377.8912
3.2562	378.0463
3.2597	377.7665
3.2641	377.8526
3.2691	378.0865
3.2735	378.0208
3.2787	378.2843
3.2825	378.0118
3.2862	377.7891
3.2909	377.9925
3.2957	378.2463
3.2999	378.1091
3.3039	378.0065
3.3088	378.2988
3.3135	378.2747
3.3182	378.5448
3.3229	378.4812
3.3263	378.0948
3.3303	378.0583
3.3351	378.3175
3.3401	378.6796
3.3438	378.2487
3.348	378.2599
3.3531	378.7896
3.3573	378.6957
3.3629	378.9998
3.3663	378.5423
3.37	378.274
3.3744	378.365
3.3796	378.8671
3.3837	378.7794
3.3877	378.7101
3.3924	378.8064
3.397	378.8291
3.4017	378.9906
3.4064	379.124
3.41	378.7788
3.4138	378.7653
3.4186	378.9453
3.4237	379.2107
3.4275	378.8878
3.4315	378.9179
3.4369	379.2974
3.441	379.1855
3.4462	379.6868
3.4502	379.1409
3.4537	378.8775
3.4581	379.0368
3.4629	379.3775
3.4673	379.3591
3.4712	379.2179
3.4761	379.5659
3.4805	379.4736
3.4849	379.6381
3.4898	380.0794
3.4934	379.2834
3.4973	379.2478
3.5019	379.6338
3.5071	380.1624
3.5108	379.6605
3.5152	379.6625
3.5203	380.3689
3.5239	379.8242
3.5294	380.7558
3.5333	380.1857
3.5369	379.6015
3.5413	379.8317
3.5461	380.4657
3.5506	380.5266
3.5544	380.1144
3.5591	380.7021
3.5634	380.6675
3.5682	380.8015
3.5734	381.1416
3.5767	380.4022
3.5805	380.2303
3.585	380.8205
3.5901	381.1129
3.5941	380.8456
3.5982	380.8402
3.6036	381.2383
3.6074	380.953
3.6126	381.4508
3.6166	381.1188
3.6203	380.7919
3.6243	380.9045
