MTS25	Tensile stress
1.8912	461.1893
1.8968	461.3649
1.9009	460.8355
1.9058	460.9101
1.9114	461.3784
1.9163	461.2103
1.9218	461.4181
1.9264	461.1017
1.9303	460.5974
1.9351	460.837
1.9409	461.3389
1.9456	461.12
1.9501	460.7782
1.9556	461.3366
1.9609	461.3145
1.9659	461.394
1.9713	461.3661
1.9753	460.7208
1.9798	460.635
1.985	461.1991
1.9907	461.3853
1.9949	460.9092
1.9995	460.8776
2.0052	461.4077
2.0101	461.3339
2.0162	461.4957
2.0205	461.1467
2.0247	460.659
2.0294	460.7307
2.0353	461.3907
2.0402	461.2369
2.0446	460.9598
2.0496	461.1961
2.0547	461.2951
2.0598	461.3585
2.0655	461.4134
2.0695	460.8993
2.0739	460.7472
2.0793	461.1995
2.085	461.4263
2.0893	461.0848
2.0939	461.0025
2.0997	461.4085
2.1044	461.3101
2.1103	461.4671
2.1148	461.1955
2.1188	460.6542
2.1235	460.7747
2.1291	461.3372
2.1343	461.3286
2.1387	461.1409
2.144	461.2979
2.149	461.2765
2.1539	461.3206
2.1598	461.4469
2.1638	460.9762
2.1682	460.7513
2.1731	461.178
2.179	461.4233
2.1833	461.1547
2.1881	461.0944
2.1938	461.4207
2.1985	461.2523
2.2042	461.4529
2.2092	461.3317
2.2132	460.7564
2.2179	460.9167
2.2233	461.3377
2.2282	461.3301
2.2328	461.0776
2.2379	461.3326
2.2432	461.3271
2.2481	461.3484
2.254	461.4688
2.258	460.9431
2.2623	460.7466
2.2677	461.2152
2.2733	461.4102
2.2777	461.2003
2.2825	461.1496
2.2882	461.4308
2.2924	461.1693
2.2984	461.4617
2.3032	461.3224
2.3072	460.7213
2.3118	460.81
2.3176	461.3661
2.3228	461.3704
2.3272	461.1458
2.3322	461.2975
2.3374	461.3212
2.3423	461.349
2.3484	461.5023
2.3527	461.0616
2.3569	460.7213
2.362	461.0925
2.3677	461.409
2.3721	461.156
2.3769	461.0802
2.3824	461.4152
2.3867	461.2155
2.3928	461.4623
2.398	461.3631
2.4018	460.7372
2.4063	460.6979
2.412	461.3513
2.4172	461.3607
2.4216	461.1278
2.4265	461.2501
2.4318	461.2909
2.4367	461.271
2.4427	461.4661
2.4469	460.9944
2.4512	460.6707
2.4561	461.0628
2.462	461.4115
2.4661	461.0785
2.4709	461.0344
2.4765	461.3878
2.4809	461.0815
2.4869	461.4371
2.492	461.3586
2.496	460.6794
2.5006	460.6795
2.5062	461.3165
2.5113	461.3304
2.5157	460.9561
2.5209	461.2132
2.5259	461.2155
2.5307	461.0858
2.5371	461.4725
2.541	460.9319
2.5453	460.5663
2.5503	460.8923
2.5562	461.3794
2.5609	461.1074
2.5655	461.0446
2.571	461.3273
2.5753	460.7286
2.5811	461.3551
