MTS25	Tensile stress
2.0906	376.5618
2.0949	376.5507
2.1001	376.7668
2.1042	376.4463
2.108	376.3254
2.1125	376.5073
2.1178	376.8323
2.1219	376.5714
2.1261	376.5143
2.1315	376.8561
2.1356	376.7088
2.141	377.1358
2.1454	376.8008
2.1489	376.5204
2.1532	376.5746
2.1581	376.8257
2.163	377.0789
2.1671	376.7921
2.1715	376.8699
2.1763	377.1254
2.1807	376.9931
2.1862	377.3937
2.1899	376.9094
2.1939	376.7526
2.1985	376.9369
2.2037	377.3501
2.2078	377.2274
2.2121	377.1164
2.2172	377.4188
2.2212	377.2934
2.2262	377.5489
2.231	377.5312
2.2346	377.1968
2.2388	377.2419
2.2437	377.4413
2.2486	377.6463
2.2527	377.3444
2.2573	377.4721
2.2623	377.6998
2.2665	377.5919
2.272	378.153
2.2757	377.5145
2.2795	377.3208
2.2842	377.5983
2.2893	377.9898
2.2936	377.7137
2.2979	377.6749
2.303	378.1949
2.307	377.7458
2.3123	378.3148
2.317	378.2636
2.3207	377.656
2.3249	377.659
2.3298	378.0991
2.3349	378.4321
2.3388	377.9812
2.3431	378.1346
2.3482	378.5429
2.3522	378.2725
2.3579	379.3986
2.3618	378.289
2.3656	377.9505
2.3703	378.1845
2.3754	379.035
2.3797	378.5712
2.384	378.4457
2.3889	379.1685
2.3932	378.7784
2.3981	379.3997
2.403	379.4055
2.4065	378.4363
2.4105	378.3114
2.4154	379.1864
2.4207	379.4902
2.4245	379.1685
2.429	379.2142
2.434	379.5085
2.438	379.3395
2.4438	379.8458
2.4476	379.4002
2.4514	379.0626
2.4558	379.2964
2.4613	379.7962
2.4653	379.539
2.4695	379.4811
2.4744	379.7653
2.4783	379.5838
2.4834	379.8571
2.4885	379.9734
2.4922	379.5132
2.4963	379.4153
2.5011	379.7822
2.5062	379.9875
2.51	379.7344
2.5146	379.8346
2.5194	379.9813
2.5234	379.826
2.5291	380.5545
2.5331	379.9257
2.5367	379.6644
2.5413	379.8486
2.5466	380.3011
2.551	380.176
2.5552	380.0547
2.5602	380.3884
2.5642	380.082
2.5691	380.4318
2.5743	380.6422
2.5778	380.0089
